cluster_min	score	zval
60	0.469833333333	2.2
70	0.46825	2.2
80	0.423666666667	2.2
90	0.374166666667	2.2
100	0.3735	2.2
110	0.373416666667	2.2
120	0.332916666667	2.2
130	0.331	2.2
140	0.33025	2.2
150	0.284	2.2
160	0.283416666667	2.2
170	0.23925	2.2
180	0.238	2.2
190	0.2375	2.2
200	0.236416666667	2.2
210	0.235583333333	2.2
220	0.192416666667	2.2
230	0.191166666667	2.2
240	0.1905	2.2
250	0.189583333333	2.2
260	0.188583333333	2.2
270	0.140083333333	2.2
280	0.0906666666667	2.2
290	0.0901666666667	2.2
300	0.0899166666667	2.2
10	0.544916666667	2.3
20	0.536916666667	2.3
30	0.502333333333	2.3
40	0.470333333333	2.3
50	0.373166666667	2.3
60	0.3725	2.3
70	0.333083333333	2.3
80	0.331583333333	2.3
90	0.286333333333	2.3
100	0.284916666667	2.3
110	0.283583333333	2.3
120	0.24075	2.3
130	0.24025	2.3
140	0.239916666667	2.3
150	0.191166666667	2.3
160	0.189666666667	2.3
170	0.147166666667	2.3
180	0.146416666667	2.3
190	0.145166666667	2.3
200	0.1435	2.3
210	0.09225	2.3
220	0.0920833333333	2.3
230	0.0908333333333	2.3
240	0.0901666666667	2.3
250	0.09	2.3
260	0.0899166666667	2.3
270	0.0899166666667	2.3
280	0.0900833333333	2.3
290	0.0896666666667	2.3
300	0.08975	2.3
10	0.53025	2.4
20	0.3645	2.4
30	0.369083333333	2.4
40	0.334916666667	2.4
50	0.28775	2.4
60	0.2415	2.4
70	0.1955	2.4
80	0.19375	2.4
90	0.192	2.4
100	0.191583333333	2.4
110	0.190333333333	2.4
120	0.188666666667	2.4
130	0.187666666667	2.4
140	0.145083333333	2.4
150	0.0945	2.4
160	0.0935	2.4
170	0.0925	2.4
180	0.0918333333333	2.4
190	0.0909166666667	2.4
200	0.0901666666667	2.4
210	0.0900833333333	2.4
220	0.09	2.4
230	0.0899166666667	2.4
240	0.0899166666667	2.4
250	0.0899166666667	2.4
260	0.09	2.4
270	0.09	2.4
280	0.0900833333333	2.4
290	0.0900833333333	2.4
300	0.0901666666667	2.4
10	0.424666666667	2.5
20	0.322916666667	2.5
30	0.244583333333	2.5
40	0.194333333333	2.5
50	0.19225	2.5
60	0.191083333333	2.5
70	0.190666666667	2.5
80	0.1885	2.5
90	0.136583333333	2.5
100	0.13625	2.5
110	0.095	2.5
120	0.0943333333333	2.5
130	0.094	2.5
140	0.0925833333333	2.5
150	0.0919166666667	2.5
160	0.091	2.5
170	0.0909166666667	2.5
180	0.0905833333333	2.5
190	0.0903333333333	2.5
200	0.0904166666667	2.5
210	0.0905833333333	2.5
220	0.0905833333333	2.5
230	0.0905	2.5
240	0.0445	2.5
250	0.0	2.5
260	0.0	2.5
270	0.0	2.5
280	0.0	2.5
290	0.0	2.5
300	0.0	2.5
10	0.309333333333	2.6
20	0.199166666667	2.6
30	0.193333333333	2.6
40	0.189916666667	2.6
50	0.136333333333	2.6
60	0.135916666667	2.6
70	0.135583333333	2.6
80	0.0955	2.6
90	0.09525	2.6
100	0.09475	2.6
110	0.0938333333333	2.6
120	0.0925	2.6
130	0.0918333333333	2.6
140	0.0913333333333	2.6
150	0.09125	2.6
160	0.0	2.6
170	0.0	2.6
180	0.0	2.6
190	0.0	2.6
200	0.0	2.6
210	0.0	2.6
220	0.0	2.6
230	0.0	2.6
240	0.0	2.6
250	0.0	2.6
260	0.0	2.6
270	0.0	2.6
280	0.0	2.6
290	0.0	2.6
300	0.0	2.6
10	0.200833333333	2.7
20	0.1945	2.7
30	0.188	2.7
40	0.135	2.7
50	0.09575	2.7
60	0.095	2.7
